last_name,first_name,team,position,height_inches,weight_lbs,pts_per_game,rebounds_per_game,assists_per_game,salary
Love,Kevin,Miami Heat,F-C,80,251.0,8.2,6.4,1.9,3114138
Lowry,Kyle,Miami Heat,G,72,196.0,11.2,4.1,5.1,28333334
Lyles,Trey,Sacramento Kings,F,81,234.0,7.6,4.1,0.9,2700000
Maledon,Theo,Charlotte Hornets,G,77,175.0,6.7,2.8,3.5,1900000
Mamukelashvili,Sandro,San Antonio Spurs,F-C,82,240.0,6.1,4.3,1.4,357717
Mann,Terance,LA Clippers,G-F,77,215.0,8.8,3.4,2.3,1930681
Mann,Tre,Oklahoma City Thunder,G,75,178.0,7.7,2.3,1.8,3046200
Marjanovic,Boban,Houston Rockets,C,88,290.0,3.3,1.9,0.3,601478
Markkanen,Lauri,Utah Jazz,F-C,84,240.0,25.6,8.6,1.9,16475454
Marshall,Naji,New Orleans Pelicans,F,79,220.0,9.1,3.6,2.5,1782621
Martin,Caleb,Miami Heat,F,77,205.0,9.6,4.8,1.6,6479000
Martin,Cody,Charlotte Hornets,F,78,205.0,5.0,3.4,1.6,7000000
Martin,Tyrese,Atlanta Hawks,G,78,215.0,1.3,0.8,0.1,1017781
Martin Jr.,Kenyon,Houston Rockets,F,79,215.0,12.7,5.5,1.5,1782621
Mathews,Garrison,Atlanta Hawks,G,78,215.0,4.8,1.4,0.5,2000000
Mathurin,Bennedict,Indiana Pacers,G-F,77,210.0,16.7,4.1,1.5,6586800
Matthews,Wesley,Milwaukee Bucks,G,77,220.0,3.4,2.2,0.7,1836090
Maxey,Tyrese,Philadelphia 76ers,G,74,200.0,20.3,2.9,3.5,2726880
McBride,Miles,New York Knicks,G,74,195.0,3.5,0.8,1.1,1563518
McCollum,CJ,New Orleans Pelicans,G,75,190.0,20.9,4.4,5.7,33333333
McConnell,T.J.,Indiana Pacers,G,73,190.0,8.7,3.1,5.3,8100000
McDaniels,Jaden,Minnesota Timberwolves,F,81,185.0,12.1,3.9,1.9,2161440
McDaniels,Jalen,Philadelphia 76ers,F-C,81,205.0,9.4,4.3,1.6,1930681
McDermott,Doug,San Antonio Spurs,F,78,225.0,10.2,2.2,1.4,13750000
McGee,JaVale,Dallas Mavericks,C-F,84,270.0,4.4,2.5,0.3,5461219
McGowens,Bryce,Charlotte Hornets,G,78,175.0,5.3,2.0,1.2,1075000
McGruder,Rodney,Detroit Pistons,G,76,205.0,5.7,2.3,0.9,1836090
McLaughlin,Jordan,Minnesota Timberwolves,G,72,185.0,3.7,1.4,3.4,2160000
Melton,De'Anthony,Philadelphia 76ers,G,74,200.0,10.1,4.1,2.6,8250000
Merrill,Sam,Cleveland Cavaliers,G,76,205.0,5.0,1.8,1.0,850000
Metu,Chimezie,Sacramento Kings,F-C,81,225.0,4.9,3.0,0.6,1910680
Middleton,Khris,Milwaukee Bucks,F,79,222.0,15.1,4.2,4.9,37948276
Mills,Patty,Brooklyn Nets,G,72,180.0,6.2,1.1,1.4,6479000
Milton,Shake,Philadelphia 76ers,G-F,77,205.0,8.4,2.5,3.2,1977718
Minott,Josh,Minnesota Timberwolves,F,80,205.0,3.1,1.7,0.3,1017781
Mitchell,Davion,Sacramento Kings,G,72,202.0,5.6,1.3,2.3,4833600
