participant_id,minutes_spent_sleeping
20180302181086,460
20180403181675,180
20180112171993,480
20180807181405,540
20181111180636,690
20180403180547,180
20181110180126,420
20180111170582,641
20180112171168,522
20180807181402,480
20180201181989,510
20180111170016,375
20180807181802,540
20180302182196,450
20180705181695,470
20180807180588,597
20181211182120,238
20180908180557,470
20180503180584,405
20181211181426,0
20180302181865,415
20180707181783,582
20180212171908,537
20180403181329,420
20181211182231,770
20181211181854,680
20180504180846,670
20180112171767,600
20181009180131,780
20180707181505,455
20180605182412,555
20181009181705,210
20181109180785,480
20180504181336,500
20180403181435,465
20180908181035,375
20180907181822,880
20181211181718,440
20181009181900,510
20180402180690,540
20180112170043,570
20180112172084,899
20180605181989,720
20180908181212,510
20181110181264,420
20181210182054,360
20180112172159,450
20180101181994,360
20181212181641,270
20180201181842,720
20180604181376,510
20180707181434,660
20180201180573,685
20180404181540,345
20180908181885,370
20180112171944,470
20180504180712,750
20180908181583,570
20181010181162,480
20180908180767,480
20180605181515,450
20181009180594,755
20180504182292,730
20180201181317,359
20181211182440,480
20181110181768,480
20180503180567,615
20180706180036,630
20181010181262,420
20180605181067,585
20180807180781,600
20181010182523,600
20180303180995,600
20180909181127,622
20181008182223,520
20180706181422,220
20181211181244,390
20180807181446,540
20180302181434,480
20180908181408,720
20180605182418,300
20180807181070,715
20181110180602,600
20180201180562,660
20180504181234,565
20180504181544,810
20180201181399,380
20180908181538,475
20180301181954,490
20180101181602,460
20180403180987,537
20180403181217,235
20180112172013,955
20181211181001,540
20181212180805,540
20181009180577,450
20181110181910,660
20180706182349,585
20180908181672,450
20181212180756,480
20180503182321,775
20180111172162,690
20180302180701,720
20181109180740,360
20180706182239,729
20180706181988,525
20181109180528,728
20180201181806,525
20180605180594,570
20180301182266,690
20180605181129,480
20180705180926,600
20181211180597,480
20181211181987,420
20180403182083,390
20180908180866,300
20180402181214,630
20180504181448,600
20181009180781,550
20180605182122,300
20181210180576,610
20180201181323,600
20181110181092,465
20180908180942,540
20180112170658,568
20180605181176,280
20180402182154,675
20181110181863,540
20180605181956,510
20180909181863,430
20180908180076,435
20180302180700,540
20180101181060,599
20180112170508,495
20181009180504,457
20181211181517,540
20180909180053,660
20180201180938,270
20180605181083,420
20180605180814,515
20180302181954,665
20180807181915,580
20181211182022,270
20180502180720,525
20180706180798,585
20180302181518,690
20180303180898,449
20180403182196,570
20180706181389,600
20180806182228,900
20181110181869,420
20180706181682,480
20180605181418,475
20180504180530,908
20180101181203,600
20180605180819,508
20181009182322,600
20180504181204,509
20180605181791,480
20180908181843,480
20180606180801,490
20180705181814,390
20180604180014,480
20180504182458,645
20180605181719,480
20181110180979,570
20180807181864,720
20180807180545,780
20181008180689,450
20180706180005,435
20180908180890,510
20180504181186,540
20181211181563,450
20180403181595,537
20180605181352,450
20181209181825,270
20180908180707,530
20180807182010,630
20180807181797,960
20180605180982,480
20181009182334,410
20180403180992,670
20181211182482,495
20180201182201,480
20180909181315,500
20180605182299,450
20180705182092,520
20180706182219,775
20180908182480,360
20180201182101,480
20180101180967,600
20180403182343,780
20180111171499,550
20181211182105,495
20180403181289,495
20180606182091,465
20180504180966,475
20181010181533,750
20180112170781,660
20180112172039,450
20181110180836,594
20181009180085,590
20180808180792,575
20180302180517,895
20180605181040,560
20180404181609,372
20180404181109,520
20180504181026,600
20180705180966,480
20181110181042,580
20180504182011,581
20180909181666,345
20180112171942,578
20180201180525,335
20180706181916,660
20180807182107,905
20180112171651,530
20180907180589,809
20181109181336,690
20180908182252,375
20180808180730,570
20180807180872,660
20181211181535,635
20181211182470,525
20180212172232,690
20180707182029,930
20180302181323,610
20180201181941,580
20180504181839,420
20181110182104,450
20180908180530,375
20180706180139,645
20181212180695,555
20181110180021,566
20180707182008,405
20180909181516,448
20180201180144,645
20180908182013,480
20181009182031,490
20180302180952,660
20181110181786,630
20180908182066,315
20180112172493,570
20180402181688,600
20180808181683,420
20180111171587,596
20180807182059,505
20180303181486,450
20181009181073,766
20180908181711,653
20180201181963,600
20180605181673,480
20180605182446,625
20180403182215,360
20181211181743,577
20180504181051,480
20180605180162,540
20180302182482,669
20180112172507,450
20180112171411,650
20181110181805,510
20180908180063,660
20180403181398,810
20180807182226,485
20180504181781,480
20180909181988,361
20180504180908,495
20181211181398,510
20180404180610,240
20180707180559,390
20180908180841,600
20180201181826,525
20180403181776,465
20180605181227,330
20180908181913,480
20180404181200,399
20180908180675,540
20180201180829,620
20180302181292,600
20180112170960,570
20180707180849,600
20181211182338,540
20180808182058,720
20180101180623,350
20180808180997,600
20180706182266,450
20180404180541,485
20181110181451,480
20180504181049,540
20181211181978,630
20181010181052,630
20180807181596,540
20181009180107,695
20180908180060,889
20181211182124,515
20181109180759,660
20180908180932,505
20180302180632,265
20180806181959,645
20180808181560,480
20180112172381,880
20180707181254,480
20180706181178,470
20181110182365,0
20181110182151,750
20180706181282,730
20180807181748,600
20180807182064,505
20181211180698,360
20180201182438,480
20180605180136,510
20180806181175,420
20180807181542,470
20181212182096,450
20180706181517,600
20180807182386,715
20181212182064,625
20180202180990,675
20180808181465,989
20180112171510,625
20180303180827,510
20181110182062,540
20180302181368,390
20180605181586,480
20181009182217,495
20180111170795,450
20180201182282,550
20181111180795,465
20180807180083,420
20181210181495,1040
20180908181333,600
20180302182254,490
20180302181651,703
20180908180643,440
20180606180117,240
20181009180955,600
20180404182405,765
20180706181515,540
20180201181483,505
20180706181841,480
20180605182162,570
20181009182338,330
20180403181257,625
20180403181409,420
20180112172490,392
20181211180901,480
20180808180972,300
20181211181879,690
20180707181388,420
20180112170994,660
20180302181893,510
20181009182189,430
20180605181750,570
20180504181751,535
20180112170719,690
20180504181160,570
20180908180625,570
20180112171125,540
20180605181537,365
20180605181200,360
20180909181584,600
20181009181123,835
20181009181115,295
20180605181062,300
20180807180997,725
20180605180149,790
20180112170656,600
20180705181115,465
20180909181476,540
20180201181402,420
20180908181945,316
20180504181407,595
20180706182539,450
20180302180686,570
20180404181870,450
20180301181606,745
20180504181774,445
20181211180903,570
20180403181182,780
20180806181632,445
20180605182500,570
20180403182462,600
20180605180102,620
20180807182249,390
20181110181486,38
20180201181331,255
20180201181396,570
20180112172107,540
20180807181965,510
20180706181322,445
20180605182397,373
20180201182150,540
20180705181312,630
20181008181722,600
20180908182103,525
20181110180875,90
20180706180957,645
20181009180529,635
20180403182269,510
20180605182081,505
20180807181209,520
20180908181092,555
20181211181485,430
20181212181869,390
20180101182439,540
20180302180901,540
20180605180994,330
20180403181051,640
20180504182070,305
20181009181747,310
20180706182312,585
20180909180626,280
20180908180813,615
20180706181420,510
20180706181637,525
20180101181771,645
20180705182317,477
20180504181742,600
20181211181274,420
20180807181631,475
20180404181457,510
20180403181834,423
20180111172401,420
20180807181741,630
20180604182425,320
20180101181226,300
20181211182370,532
20180605182366,330
20181009180820,600
20180605181782,630
20180403181944,600
20180706180611,540
20180112170855,510
20180403181134,690
20180505181996,238
20180112170102,680
20180212170876,705
20181110180954,600
20180705181676,540
20180707182185,540
20181211180691,635
20180201182046,480
20180404181583,614
20180201181165,360
20180404181221,580
20180807180575,540
20180112170774,240
20180908181288,510
20180111171834,737
20180202181161,505
20180706180719,660
20180504182443,493
20180302180770,827
20180807181714,512
20180605181117,555
20180302182326,540
20180101180752,480
20180505181036,450
20180706182079,655
20181009182127,530
20180101181792,510
20181110180737,1080
20181211181301,390
