council_district,total_appr,finished_area,year
4,222500.0,2041.3225100000002,2009
10,117500.0,1378.0,2009
11,228100.0,2624.0,2009
10,92200.0,1224.0,2009
35,219500.0,2157.0,2009
33,144900.0,1696.0,2009
11,130900.0,1521.0,2009
3,213300.0,2164.5,2009
12,287700.0,3514.0,2009
30,95600.0,975.0,2009
22,109500.0,1446.75,2009
32,78000.0,1180.0,2009
1,88600.0,1528.0,2009
7,103600.0,1234.0,2009
29,135900.0,1969.0,2009
10,179200.0,2170.0,2009
8,70900.0,1400.0,2009
20,135800.0,1292.0,2009
1,112000.0,1154.0,2009
12,190100.0,2224.0,2009
26,285900.0,1684.0,2009
31,292700.0,1480.0,2009
27,135900.0,1400.0,2009
17,37700.0,1241.0,2009
9,128500.0,1384.0,2009
13,110800.0,1668.0,2009
33,185000.0,2572.0,2009
24,33300.0,567.0,2009
33,190400.0,2328.0,2009
26,108400.0,1650.0,2009
25,301300.0,1452.31995,2009
2,162800.0,2490.0,2009
7,114400.0,1112.0,2009
6,173400.0,2076.0,2009
6,76700.0,945.0,2009
30,73700.0,1840.0,2009
22,156300.0,1452.0,2009
31,276800.0,2654.0,2009
8,249500.0,3136.29004,2009
23,287100.0,2021.0,2009
35,295600.0,2500.0,2009
8,91200.0,1340.0,2009
32,194400.0,2808.0,2009
8,148500.0,1550.0,2009
9,133700.0,1598.13,2009
7,133200.0,1446.0,2009
33,163900.0,2049.0,2009
2,176100.0,2560.0,2009
30,159000.0,2160.0,2009
22,105800.0,1058.0,2009
16,61000.0,660.0,2009
18,317600.0,1228.0,2009
15,203100.0,1924.0,2009
30,123000.0,1633.0,2009
30,128800.0,1180.0,2009
9,102100.0,1176.0,2009
30,105000.0,975.0,2009
23,579700.0,3513.6298799999995,2009
6,181700.0,1386.0,2009
17,138200.0,1281.0,2009
31,124500.0,1728.0,2009
6,76000.0,660.0,2009
4,144700.0,1116.0,2009
13,115200.0,1791.7199699999999,2009
3,92900.0,1300.0,2009
6,284300.0,1407.0,2009
21,196600.0,1397.0,2009
7,128600.0,1750.0,2009
7,114200.0,1522.0,2009
25,416000.0,2060.0,2009
6,55800.0,528.0,2009
3,210100.0,3899.3100600000002,2009
1,158000.0,1450.0,2009
11,143800.0,1645.0,2009
1,124700.0,1988.0,2009
29,137900.0,2030.0,2009
6,64800.0,660.0,2009
28,158800.0,1929.0,2009
25,208300.0,1343.0,2009
6,139500.0,1417.0,2009
32,192600.0,2895.0,2009
2,127300.0,2116.0,2009
19,180100.0,688.0,2009
22,208300.0,2031.0,2009
7,103700.0,1200.0,2009
34,508400.0,2076.0,2009
32,94400.0,1240.0,2009
29,136800.0,2151.0,2009
35,165900.0,1135.0,2009
4,200200.0,1660.0,2009
7,70600.0,864.0,2009
28,183800.0,2896.78003,2009
11,207400.0,2816.0,2009
9,87800.0,1356.0,2009
1,160900.0,1831.0,2009
18,269500.0,1254.0,2009
12,326300.0,3196.0,2009
35,219500.0,2104.5,2009
20,169400.0,2362.0,2009
35,218800.0,1982.0,2009
33,181500.0,2382.0,2009
6,277900.0,1677.0,2009
3,176900.0,1884.0,2009
17,260500.0,1272.0,2009
1,101000.0,1632.0,2009
10,122100.0,1448.0,2009
1,96900.0,1961.0,2009
32,111200.0,1248.0,2009
5,61400.0,709.0,2009
9,88700.0,1055.0,2009
11,331500.0,2470.0,2009
24,726500.0,3826.0,2009
23,441600.0,3566.0,2009
26,58400.0,768.0,2009
21,37000.0,960.0,2009
1,83200.0,1150.0,2009
11,155000.0,1690.0,2009
32,193300.0,2968.0,2009
12,89300.0,1381.0,2009
29,157800.0,1591.0,2009
16,180000.0,2277.0,2009
7,198500.0,2296.0,2009
31,243500.0,2893.0,2009
19,59100.0,594.0,2009
26,312700.0,2808.0,2009
29,133300.0,1912.0,2009
26,113800.0,1030.0,2009
24,303600.0,1999.9399399999998,2009
4,311100.0,3055.0,2009
4,309300.0,3053.0,2009
21,46800.0,960.0,2009
17,440900.0,2904.0,2009
33,139000.0,1505.0,2009
9,57500.0,768.0,2009
10,103300.0,1327.5,2009
3,114500.0,1187.0,2009
33,128100.0,1536.0,2009
9,93400.0,1372.0,2009
34,388100.0,2042.0,2009
30,37900.0,972.0,2009
17,83600.0,1008.0,2009
20,78700.0,720.0,2009
6,160900.0,848.0,2009
15,155600.0,2487.0,2009
21,73200.0,1148.0,2009
7,138300.0,1512.0,2009
34,3010100.0,7782.0,2009
28,128400.0,1463.0,2009
19,232500.0,911.0,2009
25,225300.0,1187.0,2009
6,178500.0,1048.0,2009
3,131000.0,1244.0,2009
35,168800.0,1616.0,2009
18,270000.0,1335.0,2009
5,74200.0,850.0,2009
1,106100.0,1475.0,2009
25,357200.0,1897.62,2009
6,316500.0,2346.0,2009
13,104400.0,1100.0,2009
21,208100.0,1080.0,2009
11,117100.0,1408.0,2009
22,187000.0,1824.0,2009
29,112600.0,1300.0,2009
35,165500.0,1404.0,2009
19,186300.0,1360.0,2009
4,243000.0,2993.0,2009
33,163500.0,1950.0,2009
33,118300.0,1268.0,2009
26,231100.0,1706.0,2009
31,127300.0,2100.55005,2009
33,123400.0,1404.0,2009
23,453300.0,2882.0,2009
22,236000.0,2062.3999,2009
17,382600.0,1792.0,2009
15,105000.0,993.35999,2009
2,98100.0,1040.0,2009
13,75100.0,1020.0,2009
9,100900.0,1290.0,2009
34,1451500.0,4030.0,2009
32,156400.0,2064.0,2009
28,118800.0,1850.0,2009
34,610200.0,3310.0,2009
4,312900.0,3104.0,2009
27,134100.0,1592.0,2009
34,544000.0,3089.0,2009
28,125200.0,1235.0,2009
2,42500.0,816.0,2009
24,196200.0,1235.0,2009
23,222500.0,1608.0,2009
7,73300.0,1260.0,2009
13,172400.0,2190.0,2009
10,147100.0,1255.0,2009
9,101200.0,1434.0,2009
2,53100.0,864.0,2009
10,99700.0,1066.0,2009
12,219900.0,2587.11499,2009
8,217500.0,2352.0,2009
9,84600.0,943.0,2009
25,341000.0,1689.0,2009
22,487100.0,4003.19995,2009
25,167900.0,1600.0,2009
6,142400.0,1198.0,2009
24,244900.0,2089.0,2009
33,82600.0,1063.0,2009
27,132600.0,1746.0,2009
27,145300.0,1658.0,2009
11,138900.0,1622.0,2009
12,129700.0,1501.0,2009
22,181300.0,1902.0,2009
32,216700.0,2212.19995,2009
29,109500.0,1452.0,2009
7,266700.0,1903.0,2009
3,179900.0,2010.0,2009
2,229700.0,4806.0,2009
