HHID,AverageTimeSitting,AvgDrinksPerWeek,MorningNightPerson
91003251.0,8.0,0.0,2.0
91003255.0,4.0,0.0,3.0
91003258.0,5.0,1.0,1.0
91003264.0,8.0,0.0,3.0
91003281.0,4.0,0.0,2.0
91003283.0,13.0,10.0,2.0
91003296.0,12.0,8.0,4.0
91003309.0,6.0,15.0,3.0
91003310.0,3.0,0.0,1.0
91003318.0,10.0,1.0,2.0
91003320.0,4.0,0.0,1.0
91003324.0,7.0,0.0,4.0
91003327.0,12.0,0.0,3.0
91003331.0,5.0,6.0,4.0
91003332.0,6.0,1.0,1.0
91003340.0,6.0,1.0,3.0
91003356.0,10.0,21.0,4.0
91003362.0,3.0,0.0,1.0
91003395.0,10.0,20.0,3.0
91003402.0,13.0,2.0,4.0
91003410.0,6.0,0.0,5.0
91003414.0,3.0,6.0,2.0
91003421.0,5.0,7.0,4.0
91003425.0,14.0,0.0,2.0
91003440.0,9.0,2.0,1.0
91003447.0,8.0,0.0,4.0
91003448.0,10.0,6.0,2.0
91003449.0,2.0,0.0,1.0
91003455.0,6.0,1.0,2.0
91003458.0,4.0,0.0,1.0
91003459.0,7.0,35.0,3.0
91003460.0,6.0,0.0,4.0
91003470.0,3.0,6.0,3.0
91003478.0,12.0,4.0,3.0
91003479.0,6.0,0.0,1.0
91003480.0,12.0,0.0,5.0
91003483.0,10.0,1.0,1.0
91003496.0,5.0,0.0,2.0
91003504.0,4.0,0.0,1.0
91003511.0,6.0,4.0,3.0
91003519.0,5.0,0.0,3.0
91003520.0,20.0,56.0,1.0
91003524.0,8.0,3.0,4.0
91003526.0,7.0,0.0,4.0
91003529.0,4.0,8.0,2.0
91003533.0,14.0,4.0,1.0
91003538.0,5.0,0.0,1.0
91003551.0,5.0,12.0,2.0
91003557.0,4.0,2.0,3.0
91003559.0,10.0,0.0,4.0
91003571.0,4.0,0.0,4.0
91003582.0,12.0,0.0,1.0
91003595.0,7.0,0.0,5.0
91003596.0,8.0,12.0,2.0
91003602.0,20.0,0.0,4.0
91003608.0,4.0,1.0,3.0
91003611.0,3.0,0.0,1.0
91003627.0,8.0,0.0,1.0
91003630.0,5.0,1.0,3.0
91003649.0,4.0,0.0,4.0
91003657.0,4.0,9.0,2.0
91003662.0,4.0,0.0,1.0
91003671.0,10.0,6.0,1.0
91003684.0,8.0,0.0,3.0
91003686.0,8.0,4.0,2.0
91003688.0,12.0,2.0,2.0
91003690.0,5.0,0.0,4.0
91003695.0,2.0,4.0,4.0
91003696.0,8.0,0.0,1.0
91003700.0,9.0,2.0,1.0
91003727.0,8.0,0.0,2.0
91003729.0,4.0,0.0,1.0
91003734.0,5.0,1.0,5.0
91003735.0,8.0,4.0,3.0
91003741.0,5.0,0.0,3.0
91003751.0,3.0,10.0,2.0
91003757.0,8.0,0.0,3.0
91003758.0,8.0,2.0,5.0
91003761.0,8.0,10.0,2.0
91003767.0,8.0,0.0,4.0
91003769.0,10.0,3.0,2.0
91003775.0,8.0,0.0,5.0
91003790.0,6.0,2.0,5.0
91003793.0,5.0,1.0,5.0
91003797.0,3.0,0.0,5.0
91003810.0,5.0,0.0,2.0
91003811.0,15.0,0.0,4.0
91003812.0,4.0,0.0,4.0
91003816.0,5.0,2.0,1.0
91003818.0,4.0,0.0,3.0
91003824.0,9.0,10.0,4.0
91003829.0,4.0,0.0,1.0
91003865.0,7.0,1.0,1.0
91003867.0,5.0,0.0,2.0
91003874.0,8.0,0.0,5.0
91003878.0,12.0,0.0,4.0
91003879.0,6.0,9.0,1.0
91003880.0,5.0,0.0,4.0
91003881.0,5.0,2.0,2.0
91003895.0,2.0,0.0,1.0
91003901.0,10.0,6.0,2.0
91003902.0,8.0,1.0,2.0
91003907.0,12.0,6.0,1.0
91003913.0,6.0,0.0,1.0
91003914.0,8.0,4.0,4.0
91003916.0,4.0,0.0,1.0
91003919.0,9.0,0.0,4.0
91003925.0,8.0,0.0,4.0
91003931.0,8.0,2.0,5.0
91003934.0,2.0,0.0,5.0
91003942.0,5.0,0.0,1.0
91003948.0,9.0,1.0,3.0
91003953.0,10.0,0.0,3.0
91003955.0,5.0,0.0,2.0
91003957.0,4.0,10.0,3.0
91003965.0,1.0,0.0,4.0
91003971.0,5.0,0.0,2.0
91003974.0,10.0,0.0,2.0
91003977.0,6.0,0.0,1.0
91003983.0,10.0,8.0,4.0
91003995.0,3.0,0.0,4.0
91004001.0,8.0,0.0,3.0
91004008.0,4.0,0.0,3.0
91004017.0,2.0,0.0,4.0
91004020.0,6.0,56.0,2.0
91004028.0,10.0,0.0,1.0
91004030.0,12.0,0.0,3.0
91004043.0,6.0,4.0,3.0
91004052.0,3.0,18.0,4.0
91004058.0,8.0,0.0,4.0
91004064.0,12.0,0.0,1.0
91004066.0,6.0,0.0,3.0
91004071.0,4.0,0.0,1.0
91004072.0,7.0,0.0,2.0
91004083.0,4.0,10.0,2.0
91004084.0,5.0,12.0,1.0
91004087.0,10.0,8.0,4.0
91004100.0,5.0,0.0,4.0
91004109.0,8.0,0.0,2.0
91004110.0,8.0,0.0,4.0
91004111.0,0.0,0.0,5.0
91004113.0,8.0,0.0,2.0
91004116.0,5.0,4.0,3.0
91004117.0,16.0,4.0,4.0
91004126.0,6.0,12.0,1.0
91004130.0,6.0,0.0,5.0
91004131.0,8.0,1.0,3.0
91004132.0,6.0,2.0,3.0
91004135.0,6.0,6.0,5.0
91004138.0,8.0,0.0,3.0
91004149.0,4.0,3.0,2.0
91004158.0,10.0,1.0,4.0
91004160.0,3.0,2.0,5.0
91004169.0,10.0,28.0,4.0
91004177.0,5.0,0.0,2.0
91004182.0,6.0,0.0,1.0
91004186.0,10.0,0.0,4.0
91004188.0,2.0,4.0,1.0
91004200.0,12.0,0.0,3.0
91004210.0,12.0,0.0,5.0
91004219.0,10.0,0.0,1.0
91004225.0,12.0,0.0,1.0
91004231.0,7.0,2.0,2.0
91004232.0,10.0,0.0,3.0
91004236.0,16.0,0.0,4.0
91004237.0,3.0,3.0,3.0
91004248.0,4.0,0.0,1.0
91004253.0,8.0,0.0,2.0
91004279.0,14.0,0.0,5.0
91004285.0,4.0,14.0,1.0
91004303.0,8.0,2.0,3.0
91004306.0,4.0,9.0,1.0
91004313.0,10.0,0.0,3.0
91004320.0,6.0,0.0,1.0
91004322.0,3.0,0.0,2.0
91004338.0,6.0,0.0,3.0
91004350.0,7.0,0.0,2.0
91004362.0,4.0,0.0,3.0
91004379.0,6.0,0.0,5.0
91004381.0,10.0,3.0,5.0
91004382.0,10.0,0.0,4.0
91004386.0,2.0,2.0,4.0
91004399.0,8.0,0.0,4.0
91004404.0,6.0,1.0,1.0
91004421.0,4.0,0.0,2.0
91004422.0,8.0,35.0,4.0
91004428.0,5.0,3.0,5.0
91004439.0,1.0,2.0,4.0
91004443.0,2.0,0.0,4.0
91004453.0,8.0,16.0,1.0
91004454.0,2.0,0.0,2.0
91004469.0,4.0,7.0,1.0
91004484.0,6.0,12.0,4.0
91004497.0,3.0,28.0,3.0
91004504.0,10.0,3.0,1.0
91004516.0,4.0,3.0,4.0
91004522.0,20.0,6.0,2.0
91004529.0,8.0,1.0,3.0
91004530.0,15.0,6.0,3.0
91004539.0,8.0,3.0,2.0
91004545.0,8.0,2.0,3.0
91004546.0,16.0,0.0,1.0
91004547.0,3.0,10.0,1.0
91004554.0,10.0,1.0,3.0
91004555.0,2.0,0.0,4.0
91004571.0,8.0,6.0,2.0
91004573.0,6.0,9.0,1.0
91004574.0,16.0,3.0,5.0
91004582.0,11.0,0.0,3.0
91004584.0,16.0,0.0,2.0
91004591.0,14.0,0.0,3.0
91004613.0,10.0,1.0,3.0
91004618.0,4.0,0.0,2.0
91004620.0,3.0,5.0,2.0
91004628.0,4.0,0.0,1.0
91004635.0,10.0,1.0,1.0
91004642.0,8.0,0.0,3.0
91004657.0,16.0,1.0,1.0
91004663.0,3.0,3.0,4.0
91004665.0,8.0,2.0,1.0
91004678.0,3.0,0.0,3.0
91004682.0,8.0,0.0,4.0
91004688.0,8.0,1.0,4.0
91004692.0,3.0,0.0,5.0
91004697.0,8.0,20.0,3.0
91004716.0,8.0,2.0,2.0
91004728.0,8.0,3.0,2.0
91004729.0,4.0,21.0,4.0
91004732.0,3.0,0.0,5.0
91004747.0,8.0,14.0,5.0
91004749.0,6.0,0.0,1.0
91004750.0,8.0,4.0,4.0
91004755.0,3.0,0.0,3.0
91004759.0,9.0,0.0,1.0
